pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,scf,rmsd_init_saddle,nghost,min_energy,rmsd_min_sad,rmsd_min_init
16,10,97.71,-3148.033383,0.00431945,True,GPRD,lbfgs,lbfgs,-3147.010779481928,-1.0226035180721738,000,doublets,,0.3260582445345001,0.0,-3151.705453,18.58257186593269,0.7400226710590962
23,15,331.221,-7302.154259,0.00241684,True,GPRD,lbfgs,lbfgs,-7301.29104210642,-0.8632168935801019,000,singlets,,0.2199019888505674,0.0,-7306.953757,0.44482351795116626,0.35471675581550655
31,24,429.706,-6264.153199,0.00231399,True,GPRD,lbfgs,lbfgs,-6263.918841129346,-0.23435787065409386,001,doublets,,0.7044114610905284,0.0,-6265.584101,0.4873240965099876,0.1862557235951131
30,23,223.423,-5189.227503,0.00370239,True,GPRD,lbfgs,lbfgs,-5184.282449869433,-4.94505313056743,001,singlets,,0.47456334661207483,0.0,-5192.991172,0.4632743476572886,0.9240500507765815
37,31,1578.454,-8374.542737,0.00149124,True,GPRD,lbfgs,lbfgs,-8373.476880631448,-1.0658563685519766,002,doublets,,0.4154773972762833,0.0,-8377.941905,14.951688370771073,8.919319342291422
25,19,518.014,-11351.942963,0.00164551,True,GPRD,lbfgs,lbfgs,-11350.577896706822,-1.3650662931777333,002,singlets,,0.3781774714015623,0.0,-11355.706292,0.43009687775313515,0.3412405832536407
23,16,648.297,-8375.735057,0.00344528,True,GPRD,lbfgs,lbfgs,-8369.81687960703,-5.918177392970392,003,doublets,,0.18723533009951338,0.0,-8377.62751,24.147090697831054,0.7742773602522653
33,25,466.071,-5275.412756,0.00185119,True,GPRD,lbfgs,lbfgs,-5274.1306161305965,-1.2821398694031814,003,singlets,,0.9031789571223371,0.0,-5280.624646,13.116201484222595,1.5900326391959665
32,25,1523.844,-8427.944533,0.00277679,True,GPRD,lbfgs,lbfgs,-8427.356465179797,-0.588067820202923,004,doublets,,32.51859404182035,0.0,-8433.421343,1.469015456388936,0.8250201319441974
24,16,378.812,-7299.817662,0.00174835,True,GPRD,lbfgs,lbfgs,-7294.8702320511375,-4.9474299488629185,004,singlets,,0.47806692552344776,0.0,-7305.802441,6.266664038058373,2.4309824943672544
23,16,200.56,-6232.333211,0.00174835,True,GPRD,lbfgs,lbfgs,-6232.017919420575,-0.3152915794253204,005,doublets,,0.1723262695658731,0.0,-6233.999336,0.5657541636494257,0.32978587314436936
70,62,3513.852,-5274.937694,0.00185119,True,GPRD,lbfgs,lbfgs,-5273.426856488888,-1.510837511112186,005,singlets,,28.115543402081702,0.0,-5277.440897,27.813480356627373,0.5006308265908239
0,0,0.0,,,False,GPRD,lbfgs,lbfgs,,,006,doublets,,,,,,
23,15,322.741,-6299.948322,0.00200546,True,GPRD,lbfgs,lbfgs,-6296.709223260205,-3.2390987397948265,006,singlets,,0.3074368625878222,0.0,-6302.717862,0.2812823584745128,0.3958406136224566
58,52,9583.189,-9432.630489,0.00246826,True,GPRD,lbfgs,lbfgs,-9430.195606183837,-2.4348828161619167,007,doublets,,9.899336999035302,0.0,-9433.947418,14.464567273885617,26.00552376237972
35,30,3038.765,-9443.818145,0.00179977,True,GPRD,lbfgs,lbfgs,-9441.50113528912,-2.3170097108795744,007,singlets,,2.1609576411855946,0.0,-9450.855907,10.94481123984993,34.46127192875187
42,36,1567.65,-10368.480734,0.00293106,True,GPRD,lbfgs,lbfgs,-10368.743474524905,0.26274052490407485,008,doublets,,0.7996055262000817,0.0,-10372.464038,0.8923442558442254,0.9258224163234744
29,21,662.59,-7333.465638,0.00200546,True,GPRD,lbfgs,lbfgs,-7331.663754421446,-1.8018835785533156,008,singlets,,0.41641856222978746,0.0,-7338.329942,0.536222198018846,0.37952213117491607
49,43,9706.365,-8463.413164,0.00169693,True,GPRD,lbfgs,lbfgs,-8461.263286858568,-2.149877141431716,009,doublets,,36.185630893983095,0.0,-8464.677071,36.22086032969003,1.188259374117087
24,17,369.269,-7303.481905,0.00298248,True,GPRD,lbfgs,lbfgs,-7303.113748595979,-0.3681564040207377,009,singlets,,0.49141726408178976,0.0,-7306.633895,6.657138114990778,0.8214734786146903
36,28,1336.459,-6350.949951,0.00241684,True,GPRD,lbfgs,lbfgs,-6349.353813651482,-1.5961373485179138,010,doublets,,0.2972174803133549,0.0,-6351.340044,11.382627494030476,1.4532832700059564
29,23,205.597,-4187.436318,0.00282821,True,GPRD,lbfgs,lbfgs,-4181.458769047424,-5.977548952576399,010,singlets,,1.0410061903262617,0.0,-4188.818597,38.26808219993429,2.6642302226821633
30,25,565.377,-7318.546002,0.00200546,True,GPRD,lbfgs,lbfgs,-7317.877919927892,-0.6680820721076088,011,doublets,,0.3537690668639382,0.0,-7321.876651,0.4971709201569573,0.6801735242225403
23,15,265.811,-7269.31755,0.00215973,True,GPRD,lbfgs,lbfgs,-7265.661584371102,-3.65596562889732,011,singlets,,0.568048819715641,0.0,-7272.803698,0.7189261781687235,0.6997524227030498
28,20,1592.525,-7406.048339,0.00282821,True,GPRD,lbfgs,lbfgs,-7405.0349868030635,-1.0133521969364665,012,doublets,,0.23753933350033035,0.0,-7408.402215,0.6255714428355875,2.4448397651864013
33,27,301.029,-6213.901542,0.00174835,True,GPRD,lbfgs,lbfgs,-6211.748501596597,-2.1530404034028834,012,singlets,,2.2774682033347893,0.0,-6218.158351,7.583292309942516,0.5358549057565763
36,28,2553.408,-7405.417035,0.00236542,True,GPRD,lbfgs,lbfgs,-7404.630859922598,-0.7861750774027314,013,doublets,,0.1715171961384861,0.0,-7408.47276,15.292231249986747,33.48001207987414
22,14,199.682,-6246.47322,0.00231399,True,GPRD,lbfgs,lbfgs,-6242.319993466375,-4.153226533624547,013,singlets,,0.5581812618140669,0.0,-6250.432462,0.579708313454596,0.4640334702849184
21,14,518.215,-7375.913159,0.00251968,True,GPRD,lbfgs,lbfgs,-7375.222186542769,-0.6909724572306004,014,doublets,,19.327576110542005,0.0,-7377.021614,0.5344021563738298,0.4635477808490577
27,20,394.731,-6275.288714,0.00149124,True,GPRD,lbfgs,lbfgs,-6272.14544783528,-3.143266164720444,014,singlets,,0.9667553431107454,0.0,-6282.041948,4.353162580345012,1.0458867034816062
30,25,782.862,-9344.179553,0.00190262,True,GPRD,lbfgs,lbfgs,-9343.806708812208,-0.3728441877919977,015,doublets,,0.41941307943943495,0.0,-9345.802544,0.7686431817938681,0.7993567090795548
23,17,196.898,-6247.191938,0.00251968,True,GPRD,lbfgs,lbfgs,-6246.786727517536,-0.4052104824640992,015,singlets,,0.3934556417581242,0.0,-6250.385315,0.6973095740155445,1.2266069969987075
20,12,220.679,-5261.558994,0.00277679,True,GPRD,lbfgs,lbfgs,-5253.091962378765,-8.467031621235037,016,doublets,,0.29884757561481995,0.0,-5264.426617,0.5434723340983326,0.7484067476471813
42,35,1348.519,-9327.661994,0.00128555,True,GPRD,lbfgs,lbfgs,-9325.684265662898,-1.977728337102235,016,singlets,,1.6513957865763322,0.0,-9333.292943,9.25338432122442,1.8651623081981923
31,25,711.655,-9314.161775,0.00185119,True,GPRD,lbfgs,lbfgs,-9307.432023764095,-6.729751235905496,017,doublets,,7.54076397964988,0.0,-9316.122548,0.5747166899064956,28.759158745701203
36,31,784.801,-7302.115266,0.00246826,True,GPRD,lbfgs,lbfgs,-7301.589041020808,-0.5262249791921931,017,singlets,,0.1730463269115037,0.0,-7304.550941,0.5712843007701125,0.46532235562642515
20,12,341.433,-6318.265995,0.00174835,True,GPRD,lbfgs,lbfgs,-6310.541737949134,-7.724257050866072,018,doublets,,0.29438720645076494,0.0,-6320.899134,0.44844158621513464,0.4962379662269092
33,26,1410.609,-10384.880044,0.00272537,True,GPRD,lbfgs,lbfgs,-10383.619068867072,-1.2609751329273422,018,singlets,,1.059487495650505,0.0,-10387.562532,1.4601034853889583,0.386198149374742
25,19,313.101,-5262.148064,0.00344528,True,GPRD,lbfgs,lbfgs,-5261.747493937388,-0.40057006261213246,019,doublets,,0.15219073330041372,0.0,-5263.485062,0.7404141570253917,0.7925370716675781
51,43,4338.512,-8389.807129,0.00236542,True,GPRD,lbfgs,lbfgs,-8388.063807665198,-1.7433213348031131,019,singlets,,36.02844404996501,0.0,-8394.668531,0.9894084930742169,0.8339668344411221
41,33,1850.199,-8342.835652,0.00221115,True,GPRD,lbfgs,lbfgs,-8342.52865989369,-0.3069921063106449,020,doublets,,0.4267116568877959,0.0,-8346.595504,1.2934299691705842,0.6115068227033094
29,21,1268.048,-8387.546616,0.00262253,True,GPRD,lbfgs,lbfgs,-8385.286621629986,-2.2599943700133736,020,singlets,,0.6999096128456356,0.0,-8394.620847,11.335438915500006,0.5265388463045513
25,19,658.522,-6350.718571,0.00195404,True,GPRD,lbfgs,lbfgs,-6348.535092700217,-2.183478299783019,021,doublets,,0.7034415974221733,0.0,-6352.252662,0.8101133249667302,1.703670367459941
32,26,2185.67,-9443.568486,0.00251968,True,GPRD,lbfgs,lbfgs,-9440.932531804463,-2.635954195537124,021,singlets,,28.100117145349262,0.0,-9450.642448,0.8378949990042888,26.21653844918288
20,13,222.028,-6264.015042,0.00282821,True,GPRD,lbfgs,lbfgs,-6263.481525188488,-0.5335168115116176,022,doublets,,0.28951601593185883,0.0,-6264.664359,16.32264046832767,1.367389686803692
28,21,342.251,-5275.140263,0.00246826,True,GPRD,lbfgs,lbfgs,-5272.2130140880545,-2.927248911945753,022,singlets,,0.5358646435956878,0.0,-5281.416308,0.3171021611083471,0.3589922612431183
37,29,1571.424,-6348.728554,0.00241684,True,GPRD,lbfgs,lbfgs,-6343.8465617188795,-4.881992281120802,023,doublets,,1.1455118741332346,0.0,-6352.228755,1.3571802202666907,3.578157461092282
37,31,662.607,-10294.515396,0.00483367,True,GPRD,lbfgs,lbfgs,-10292.400255698356,-2.115140301644715,023,singlets,,0.5868947054124536,0.0,-10299.332092,1.4624151015440494,1.7916247258850606
32,27,467.757,-6262.274971,0.00241684,True,GPRD,lbfgs,lbfgs,-6261.6316841086345,-0.6432868913652783,024,doublets,,0.7631978469382446,0.0,-6265.567953,0.7668098245821967,0.7164046775639058
21,14,266.974,-7300.6023,0.00365097,True,GPRD,lbfgs,lbfgs,-7296.530783005066,-4.071516994933518,024,singlets,,0.29172969170337715,0.0,-7306.578028,0.9924425013643866,1.4834365954580113
61,55,11833.763,-8461.169877,0.00133697,True,GPRD,lbfgs,lbfgs,-8459.960723436816,-1.2091535631843726,025,doublets,,19.722745006205667,0.0,-8464.855537,3.0102609718280195,9.845775531222792
47,39,5141.323,-9414.358672,0.00143982,True,GPRD,lbfgs,lbfgs,-9411.51766128973,-2.841010710269984,025,singlets,,0.49813086857782585,0.0,-9419.321521,1.249448734863,13.382907472100177
23,15,235.415,-4238.268187,0.00174835,True,GPRD,lbfgs,lbfgs,-4236.4328063982275,-1.8353806017721581,026,doublets,,0.5833090355133702,0.0,-4238.600218,3.9055434698911746,8.005675758532544
33,26,1603.679,-8387.705603,0.00272537,True,GPRD,lbfgs,lbfgs,-8384.61343692638,-3.0921660736203194,026,singlets,,35.44472537109109,0.0,-8394.654585,2.007547015463718,32.6407819302473
42,37,4478.468,-8462.146091,0.00318817,True,GPRD,lbfgs,lbfgs,-8461.063300167765,-1.0827908322353323,027,doublets,,39.576289401434344,0.0,-8464.940969,39.50809262779851,0.7278076873422961
63,58,11379.028,-9446.034978,0.0034967,True,GPRD,lbfgs,lbfgs,-9441.284934044501,-4.750043955498768,027,singlets,,9.739923379543368,0.0,-9450.856014,1.6081420050793604,36.77466372423059
33,28,1086.638,-10370.028379,0.0030339,True,GPRD,lbfgs,lbfgs,-10365.226249238069,-4.802129761930701,028,doublets,,1.288647331383174,0.0,-10372.550582,6.482349726277914,1.857516660238114
27,20,887.897,-7387.513491,0.00313675,True,GPRD,lbfgs,lbfgs,-7386.169824675558,-1.3436663244419833,028,singlets,,0.34312336700090995,0.0,-7392.965904,0.9537161354926637,0.8665470163344735
26,21,1212.113,-8460.852942,0.00149124,True,GPRD,lbfgs,lbfgs,-8453.112389633288,-7.740552366711199,029,doublets,,8.72843271789024,0.0,-8464.745591,12.875368564379286,9.379913477250412
32,26,809.551,-9329.133348,0.00169693,True,GPRD,lbfgs,lbfgs,-9325.741401013609,-3.391946986390394,029,singlets,,0.47391529851408926,0.0,-9331.989711,0.7691177806750618,1.0270332203529957
26,19,554.419,-7318.343179,0.00354812,True,GPRD,lbfgs,lbfgs,-7316.51285499639,-1.830324003610258,030,doublets,,0.3654748380256124,0.0,-7321.094335,1.1847421315251536,3.6451813498767804
50,42,7776.917,-9446.304737,0.00205688,True,GPRD,lbfgs,lbfgs,-9444.175832815883,-2.1289041841173457,030,singlets,,3.1312806985345607,0.0,-9451.109485,2.935796964713825,11.805493670957851
25,17,256.502,-6230.221349,0.00277679,True,GPRD,lbfgs,lbfgs,-6226.555747518091,-3.665601481909107,031,doublets,,2.466080660035927,0.0,-6232.070669,5.870402635156783,0.6088051867964682
32,25,1238.339,-10385.506183,0.00339386,True,GPRD,lbfgs,lbfgs,-10383.879691466918,-1.6264915330812073,031,singlets,,19.787760541644428,0.0,-10389.704834,13.750806354098367,1.7688761940380446
34,28,1097.255,-9341.641787,0.00241684,True,GPRD,lbfgs,lbfgs,-9341.054424462613,-0.5873625373878895,032,doublets,,1.2770851657700484,0.0,-9345.019252,2.149864288554536,14.274558232399086
26,18,402.769,-10295.091828,0.00344528,True,GPRD,lbfgs,lbfgs,-10294.67403033597,-0.41779766403124086,032,singlets,,0.4967010838461203,0.0,-10299.332165,2.72375605436717,14.531602548754599
31,25,630.196,-6317.847033,0.00282821,True,GPRD,lbfgs,lbfgs,-6316.552446965593,-1.2945860344070752,033,doublets,,0.5671473975256814,0.0,-6319.842851,0.41710252191726493,0.6281030316140532
