pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,scf,rmsd_init_saddle,nghost,min_energy,rmsd_min_sad,rmsd_min_init
22,13,20.0,-3148.033384,0.005,True,Sella,n/a,n/a,-3147.01078,-1.0226039999997738,000,doublets,,0.19563222029906338,0,-3151.705453,1.3047471499508039,0.6344523669306582
107,42,339.0,-7302.617675,0.0048,True,Sella,n/a,n/a,-7301.291043,-1.3266320000002452,000,singlets,,0.5842683119466004,0,-7306.953757,1.0239471437465246,0.3221300396017858
26,14,104.0,-6264.153175,0.0092,True,Sella,n/a,n/a,-6263.918842,-0.2343330000003334,001,doublets,,0.4519626030289897,0,-6265.584101,0.37317805547741695,0.18097668755702664
31,24,29.0,-5189.227505,0.0039,True,Sella,n/a,n/a,-5184.28245,-4.9450550000001385,001,singlets,,0.3067760700038645,0,-5192.991172,0.4143872844863993,0.518466030505073
26,18,283.0,-8374.542736,0.005,True,Sella,n/a,n/a,-8373.476881,-1.065854999998919,002,doublets,,0.28905985422647423,0,-8377.941905,2.2010557734954963,1.3547763160597408
24,18,177.0,-11351.942969,0.0089,True,Sella,n/a,n/a,-11350.577897,-1.3650720000005094,002,singlets,,0.3514996697759192,0,-11355.706292,0.3148524735422722,0.33946363583901246
24,15,165.0,-8375.735145,0.0042,True,Sella,n/a,n/a,-8369.816882,-5.918263000001389,003,doublets,,0.17720828447884462,0,-8377.62751,3.3785537186867054,0.6107002653488633
37,28,158.0,-5275.412757,0.0086,True,Sella,n/a,n/a,-5274.130617,-1.282140000000254,003,singlets,,0.6477665101227832,0,-5280.624646,1.699509491057781,0.7937923653182833
31,23,314.0,-8427.944644,0.0096,True,Sella,n/a,n/a,-8427.356467,-0.5881769999996322,004,doublets,,2.5994862982318967,0,-8433.421343,1.3724755995205349,0.8074741677775772
36,25,149.0,-7299.817668,0.0079,True,Sella,n/a,n/a,-7294.870235,-4.947432999999364,004,singlets,,0.36279778877841307,0,-7305.802441,1.3775055962543146,1.2129446363474863
18,8,20.0,-6232.333227,0.0051,True,Sella,n/a,n/a,-6232.01792,-0.3153069999998479,005,doublets,,0.11672264757374518,0,-6233.999336,0.3319365772392864,0.2874425121273925
38,18,135.0,-5276.74271,0.0024,True,Sella,n/a,n/a,-5273.426857,-3.315853000000061,005,singlets,,0.26221652153098396,0,-5277.440897,0.22588524222613648,0.38660770154852964
47,35,109.0,-7199.670966,0.0082,True,Sella,n/a,n/a,-7196.682393,-2.988572999999633,006,doublets,,1.041393144858452,12,,,
28,21,121.0,-6299.948352,0.0062,True,Sella,n/a,n/a,-6296.709225,-3.2391270000007353,006,singlets,,0.27055713453487135,0,-6302.717862,0.2808934351299959,0.38342360144798254
41,34,494.0,-9431.578066,0.004,True,Sella,n/a,n/a,-9430.195606,-1.3824600000007194,007,doublets,,2.1185413236593873,0,-9433.947418,1.3276699124022513,2.941985702616819
35,25,352.0,-9443.818288,0.0068,True,Sella,n/a,n/a,-9441.501137,-2.317151000001104,007,singlets,,0.7911077978111385,0,-9450.855907,1.231265127857637,2.9223165976970376
33,28,239.0,-10368.48075,0.0061,True,Sella,n/a,n/a,-10368.743474,0.26272400000016205,008,doublets,,0.5549803814303066,0,-10372.464038,0.8833289485951232,0.9005777696618561
41,27,267.0,-7333.465786,0.0036,True,Sella,n/a,n/a,-7331.663755,-1.80203100000017,008,singlets,,0.2917163307604253,0,-7338.329942,0.3213225950366181,0.3659859037105708
22,16,320.0,-8462.340218,0.0077,True,Sella,n/a,n/a,-8461.263287,-1.076930999999604,009,doublets,,0.3392421027297736,0,-8464.677071,1.3344504286705123,1.1769844712694677
24,16,97.0,-7303.48191,0.0061,True,Sella,n/a,n/a,-7303.113749,-0.3681610000003275,009,singlets,,0.465178269055625,0,-7306.633895,1.6575025412249385,0.6345542824261455
28,13,156.0,-6350.950074,0.0086,True,Sella,n/a,n/a,-6349.353815,-1.5962589999999182,010,doublets,,0.25661494768276033,0,-6351.340044,1.510740536627716,1.442951702833008
41,37,37.0,-4187.436317,0.0098,True,Sella,n/a,n/a,-4181.45877,-5.977546999999504,010,singlets,,0.9873776268390483,0,-4188.818597,2.6162806405016226,0.8684307089613754
27,18,120.0,-7318.546098,0.0034,True,Sella,n/a,n/a,-7317.87792,-0.668177999999898,011,doublets,,0.33030939801524417,0,-7321.876651,0.35298501360795953,0.5785367152317538
34,27,151.0,-7269.317554,0.0087,True,Sella,n/a,n/a,-7265.661586,-3.65596800000003,011,singlets,,0.4821825402378024,0,-7272.803698,0.625408715705954,0.4662538069576206
20,14,249.0,-7406.048421,0.0097,True,Sella,n/a,n/a,-7405.034987,-1.0134340000004158,012,doublets,,0.23558710398782204,0,-7408.402215,0.6053527647049148,1.103218405017442
41,35,36.0,-6213.901547,0.0035,True,Sella,n/a,n/a,-6211.748501,-2.1530460000003586,012,singlets,,0.4422362466715232,0,-6218.158351,1.0026760264121062,0.43899493313623844
29,11,192.0,-7405.41702,0.0089,True,Sella,n/a,n/a,-7404.630861,-0.7861590000002252,013,doublets,,0.15921691882455205,0,-7408.47276,3.6039916742161466,4.614541866546077
45,32,44.0,-6245.8636,0.003,True,Sella,n/a,n/a,-6242.319994,-3.543605999999272,013,singlets,,0.5777734923695624,0,-6250.432462,0.8934802001473865,0.43851461432189653
26,14,160.0,-7375.913235,0.0087,True,Sella,n/a,n/a,-7375.222187,-0.6910479999996824,014,doublets,,2.159607136737966,0,-7377.021614,0.2637135445042164,0.39952397068338674
48,41,226.0,-6275.288719,0.0036,True,Sella,n/a,n/a,-6272.14545,-3.1432690000001458,014,singlets,,0.8094474523060784,0,-6282.041948,0.82235571689893,1.0341795275027394
20,15,157.0,-9344.17955,0.0075,True,Sella,n/a,n/a,-9343.806709,-0.37284100000033504,015,doublets,,0.3928327701953266,0,-9345.802544,0.5091248169764299,0.5228440927948307
22,16,19.0,-6247.191934,0.0084,True,Sella,n/a,n/a,-6246.786728,-0.4052060000003621,015,singlets,,0.34418185849666516,0,-6250.385315,0.693707061718056,0.5215284329082348
31,22,158.0,-5261.558994,0.01,True,Sella,n/a,n/a,-5253.091967,-8.467026999999689,016,doublets,,0.2737723926763337,0,-5264.426617,2.957152827062357,0.4997292513177653
114,59,626.0,-9328.067929,0.0072,True,Sella,n/a,n/a,-9325.684268,-2.3836609999998473,016,singlets,,4.168513212971905,63,-9333.292943,1.1033523853204725,1.3831740207602892
41,28,194.0,-9314.16402,0.0097,True,Sella,n/a,n/a,-9307.432026,-6.731993999999759,017,doublets,,4.938527917183276,0,-9316.122548,0.3132572738036837,4.185441462504032
19,13,76.0,-7302.115261,0.0053,True,Sella,n/a,n/a,-7301.589041,-0.5262199999997392,017,singlets,,0.17053445872958853,0,-7304.550941,0.2332434608936701,0.322552488350176
